Ackleys,Alpine,Brown,ChungReynolds,DixonPrice,Exponential,Griewank,Qing,Rastrigin,Rosenbrock,Salomon,SchumerSteiglitz,Schwefel220,Schwefel226,Sphere,StyblinksiTang,SumOfPowers,SumSquares,Trid,Zakharoy,FixedOne,FixedHalf,Random
2.03E-04,1.52E-04,2.87E-04,1.88E-04,3.15E-04,3.12E-04,3.80E-04,0.001380463,3.80E-04,2.49E-04,3.632757951,2.61E-04,2.47E-04,0.040243561,6.73E-04,5.83E-04,0.504107451,6.65E-04,2.59E-04,2.12E-04,0,0,0.048071675
2.17E-04,1.52E-04,3.02E-04,1.80E-04,2.73E-04,3.02E-04,3.80E-04,0.001380463,3.80E-04,2.43E-04,3.619010738,2.57E-04,2.69E-04,0.039419711,6.54E-04,5.62E-04,0.493306401,6.48E-04,2.54E-04,2.19E-04,0,0,0.048071675
2.16E-04,1.50E-04,3.10E-04,1.92E-04,2.88E-04,3.02E-04,4.01E-04,0.001406566,3.80E-04,2.43E-04,3.619010738,2.57E-04,3.23E-04,0.040943297,6.27E-04,5.51E-04,0.488147875,6.04E-04,2.57E-04,2.19E-04,0,0,0.048071675
2.11E-04,1.52E-04,3.06E-04,1.92E-04,2.88E-04,3.04E-04,4.14E-04,0.00135316,3.74E-04,2.39E-04,3.692467804,2.48E-04,3.57E-04,0.035822793,6.27E-04,5.14E-04,0.465159898,6.04E-04,2.66E-04,2.16E-04,0,0,0.048426691
2.15E-04,1.59E-04,2.99E-04,1.92E-04,2.88E-04,3.07E-04,4.29E-04,0.00135316,3.74E-04,2.31E-04,3.717584264,2.54E-04,3.57E-04,0.028169536,6.27E-04,5.12E-04,0.487662829,6.04E-04,2.66E-04,2.04E-04,0,0,0.045450679
2.82E-04,1.56E-04,3.27E-04,1.92E-04,2.88E-04,3.07E-04,4.17E-04,0.001360609,3.73E-04,2.50E-04,3.82394213,2.69E-04,3.46E-04,0.028169536,6.27E-04,4.70E-04,0.481203936,6.04E-04,2.56E-04,2.04E-04,0,0,0.052982952
3.00E-04,1.56E-04,3.33E-04,1.92E-04,2.84E-04,3.07E-04,4.41E-04,0.001390702,3.71E-04,2.45E-04,3.82394213,2.69E-04,3.59E-04,0.027428254,6.73E-04,4.79E-04,0.450815291,6.35E-04,2.56E-04,2.04E-04,0,0,0.064767874
2.85E-04,1.53E-04,3.30E-04,1.92E-04,2.77E-04,3.06E-04,4.46E-04,0.001390702,3.71E-04,2.64E-04,3.884178636,2.65E-04,3.52E-04,0.027428254,6.63E-04,4.71E-04,0.47676196,6.22E-04,2.56E-04,2.04E-04,0,0,0.064627777
2.88E-04,1.58E-04,3.08E-04,1.92E-04,2.79E-04,3.11E-04,4.46E-04,0.001329944,3.88E-04,2.64E-04,3.908474633,2.65E-04,3.52E-04,0.027428254,6.32E-04,4.54E-04,0.470067532,5.80E-04,2.56E-04,2.04E-04,0,0,0.060028161
2.84E-04,1.56E-04,3.23E-04,1.92E-04,2.61E-04,3.40E-04,4.36E-04,0.001320237,3.83E-04,2.52E-04,3.921104024,2.58E-04,3.79E-04,0.027428254,6.32E-04,4.41E-04,0.477813378,5.80E-04,2.56E-04,2.04E-04,0,0,0.061333317
2.83E-04,1.53E-04,3.14E-04,1.92E-04,2.20E-04,3.25E-04,4.31E-04,0.001320237,3.93E-04,2.20E-04,3.936145177,2.31E-04,3.79E-04,0.033905435,6.14E-04,4.41E-04,0.435818748,5.62E-04,2.56E-04,2.04E-04,0,0,0.05749019
2.79E-04,1.57E-04,3.28E-04,1.92E-04,2.15E-04,3.07E-04,4.25E-04,0.001250457,3.91E-04,2.20E-04,4.081227528,2.31E-04,3.75E-04,0.033427392,6.77E-04,4.23E-04,0.429198618,6.19E-04,2.56E-04,2.04E-04,0,0,0.031058844
2.74E-04,1.54E-04,3.28E-04,1.92E-04,2.04E-04,3.07E-04,4.25E-04,0.001166537,3.95E-04,2.16E-04,4.026002426,2.23E-04,3.69E-04,0.037939405,7.10E-04,4.21E-04,0.426509076,6.39E-04,2.56E-04,2.04E-04,0,0,0.030479833
2.74E-04,1.50E-04,3.20E-04,1.92E-04,2.25E-04,3.07E-04,4.31E-04,0.001169848,3.95E-04,2.16E-04,3.963195666,2.14E-04,3.45E-04,0.042632007,7.10E-04,4.21E-04,0.426509076,6.39E-04,2.98E-04,2.04E-04,0,0,0.048905163
2.86E-04,1.51E-04,3.20E-04,1.92E-04,2.09E-04,3.07E-04,4.50E-04,0.001164709,3.89E-04,2.31E-04,3.922476976,2.12E-04,3.34E-04,0.043380955,6.68E-04,4.18E-04,0.419179034,5.76E-04,3.21E-04,2.41E-04,0,0,0.048905163
2.80E-04,1.55E-04,3.18E-04,1.92E-04,2.19E-04,3.07E-04,4.40E-04,0.00114493,3.89E-04,2.27E-04,3.893129994,2.12E-04,3.35E-04,0.043380955,6.68E-04,4.18E-04,0.408925086,6.22E-04,3.21E-04,2.34E-04,0,0,0.061740562
2.78E-04,1.52E-04,3.18E-04,1.92E-04,2.29E-04,3.07E-04,4.55E-04,0.00104961,3.79E-04,2.32E-04,3.883888863,2.11E-04,3.35E-04,0.042491145,6.62E-04,4.10E-04,0.403100369,6.21E-04,3.21E-04,2.46E-04,0,0,0.05897319
2.71E-04,1.42E-04,3.18E-04,1.80E-04,2.26E-04,3.27E-04,4.45E-04,0.00104961,3.91E-04,2.35E-04,3.873887784,2.10E-04,3.76E-04,0.044369375,6.52E-04,4.15E-04,0.354984422,6.25E-04,3.29E-04,2.45E-04,0,0,0.058202906
2.76E-04,1.58E-04,3.10E-04,1.80E-04,2.30E-04,3.42E-04,4.49E-04,0.00103656,3.86E-04,2.35E-04,3.925392333,2.10E-04,3.79E-04,0.047446522,6.84E-04,4.16E-04,0.354984385,5.79E-04,3.37E-04,2.38E-04,0,0,0.045857273
